N,clf,report
6,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.4899193548387097, 'recall': 0.5758293838862559, 'f1-score': 0.5294117647058824, 'support': 422}, 'Contact_Phone_Number_1stParty': {'precision': 0.2251655629139073, 'recall': 0.17, 'f1-score': 0.19373219373219375, 'support': 200}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5353982300884956, 'recall': 0.6285714285714286, 'f1-score': 0.5782556750298686, 'support': 385}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.47668393782383417, 'recall': 0.35384615384615387, 'f1-score': 0.40618101545253865, 'support': 260}, 'Identifier_IP_Address_1stParty': {'precision': 0.46511627906976744, 'recall': 0.3791469194312796, 'f1-score': 0.4177545691906005, 'support': 211}, 'Location_1stParty': {'precision': 0.5382262996941896, 'recall': 0.5623003194888179, 'f1-score': 0.5499999999999999, 'support': 313}, 'accuracy': 0.48408710217755446, 'macro avg': {'precision': 0.4550849440714839, 'recall': 0.4449490342039894, 'f1-score': 0.445889203018514, 'support': 1791}, 'weighted avg': {'precision': 0.4737295306705678, 'recall': 0.48408710217755446, 'f1-score': 0.47498041119804424, 'support': 1791}}"
6,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5623409669211196, 'recall': 0.523696682464455, 'f1-score': 0.5423312883435583, 'support': 422}, 'Contact_Phone_Number_1stParty': {'precision': 0.29389312977099236, 'recall': 0.385, 'f1-score': 0.33333333333333337, 'support': 200}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5989445910290238, 'recall': 0.5896103896103896, 'f1-score': 0.5942408376963351, 'support': 385}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.4817813765182186, 'recall': 0.4576923076923077, 'f1-score': 0.46942800788954636, 'support': 260}, 'Identifier_IP_Address_1stParty': {'precision': 0.45701357466063347, 'recall': 0.4786729857819905, 'f1-score': 0.46759259259259256, 'support': 211}, 'Location_1stParty': {'precision': 0.5813148788927336, 'recall': 0.536741214057508, 'f1-score': 0.5581395348837209, 'support': 313}, 'accuracy': 0.5097710776102736, 'macro avg': {'precision': 0.49588141963212023, 'recall': 0.49523559660110844, 'f1-score': 0.4941775991231811, 'support': 1791}, 'weighted avg': {'precision': 0.51944431087808, 'recall': 0.5097710776102736, 'f1-score': 0.5135255088596655, 'support': 1791}}"
7,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5176282051282052, 'recall': 0.7258426966292135, 'f1-score': 0.6043030869971936, 'support': 445}, 'Contact_Phone_Number_1stParty': {'precision': 0.2535211267605634, 'recall': 0.08571428571428572, 'f1-score': 0.12811387900355872, 'support': 210}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5034602076124568, 'recall': 0.7167487684729064, 'f1-score': 0.5914634146341463, 'support': 406}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.49079754601226994, 'recall': 0.33195020746887965, 'f1-score': 0.396039603960396, 'support': 241}, 'Identifier_Device_ID_1stParty': {'precision': 0.2463768115942029, 'recall': 0.1259259259259259, 'f1-score': 0.16666666666666666, 'support': 135}, 'Identifier_IP_Address_1stParty': {'precision': 0.3028169014084507, 'recall': 0.2205128205128205, 'f1-score': 0.2551928783382789, 'support': 195}, 'Location_1stParty': {'precision': 0.4911660777385159, 'recall': 0.4664429530201342, 'f1-score': 0.4784853700516351, 'support': 298}, 'accuracy': 0.472020725388601, 'macro avg': {'precision': 0.4008238394649521, 'recall': 0.38187680824916653, 'f1-score': 0.37432355709312504, 'support': 1930}, 'weighted avg': {'precision': 0.4377972524804804, 'recall': 0.472020725388601, 'f1-score': 0.4384713630838181, 'support': 1930}}"
7,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5060483870967742, 'recall': 0.5640449438202247, 'f1-score': 0.5334750265674814, 'support': 445}, 'Contact_Phone_Number_1stParty': {'precision': 0.21764705882352942, 'recall': 0.1761904761904762, 'f1-score': 0.19473684210526315, 'support': 210}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.535483870967742, 'recall': 0.6133004926108374, 'f1-score': 0.5717566016073479, 'support': 406}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.42857142857142855, 'recall': 0.42323651452282157, 'f1-score': 0.42588726513569936, 'support': 241}, 'Identifier_Device_ID_1stParty': {'precision': 0.2767857142857143, 'recall': 0.22962962962962963, 'f1-score': 0.2510121457489879, 'support': 135}, 'Identifier_IP_Address_1stParty': {'precision': 0.25806451612903225, 'recall': 0.20512820512820512, 'f1-score': 0.2285714285714286, 'support': 195}, 'Location_1stParty': {'precision': 0.47959183673469385, 'recall': 0.47315436241610737, 'f1-score': 0.47635135135135126, 'support': 298}, 'accuracy': 0.4409326424870466, 'macro avg': {'precision': 0.3860275446584164, 'recall': 0.3835263749026146, 'f1-score': 0.3831129515839371, 'support': 1930}, 'weighted avg': {'precision': 0.42600860100015275, 'recall': 0.4409326424870466, 'f1-score': 0.43185176464516367, 'support': 1930}}"
7,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5763546798029556, 'recall': 0.5258426966292135, 'f1-score': 0.5499412455934195, 'support': 445}, 'Contact_Phone_Number_1stParty': {'precision': 0.31092436974789917, 'recall': 0.3523809523809524, 'f1-score': 0.33035714285714285, 'support': 210}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.612987012987013, 'recall': 0.5812807881773399, 'f1-score': 0.5967130214917825, 'support': 406}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.47410358565737054, 'recall': 0.49377593360995853, 'f1-score': 0.483739837398374, 'support': 241}, 'Identifier_Device_ID_1stParty': {'precision': 0.23786407766990292, 'recall': 0.362962962962963, 'f1-score': 0.28739002932551316, 'support': 135}, 'Identifier_IP_Address_1stParty': {'precision': 0.26436781609195403, 'recall': 0.2358974358974359, 'f1-score': 0.24932249322493222, 'support': 195}, 'Location_1stParty': {'precision': 0.5444444444444444, 'recall': 0.49328859060402686, 'f1-score': 0.5176056338028169, 'support': 298}, 'accuracy': 0.4689119170984456, 'macro avg': {'precision': 0.4315779980573628, 'recall': 0.43506133718027, 'f1-score': 0.4307242005277117, 'support': 1930}, 'weighted avg': {'precision': 0.482285730903285, 'recall': 0.4689119170984456, 'f1-score': 0.4738899797092171, 'support': 1930}}"
8,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.44780635400907715, 'recall': 0.6727272727272727, 'f1-score': 0.5376930063578566, 'support': 440}, 'Contact_Phone_Number_1stParty': {'precision': 0.18269230769230768, 'recall': 0.09693877551020408, 'f1-score': 0.12666666666666668, 'support': 196}, 'Contact_Postal_Address_1stParty': {'precision': 0.04, 'recall': 0.00980392156862745, 'f1-score': 0.015748031496062992, 'support': 102}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5223880597014925, 'recall': 0.7720588235294118, 'f1-score': 0.6231454005934718, 'support': 408}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5612903225806452, 'recall': 0.3359073359073359, 'f1-score': 0.4202898550724638, 'support': 259}, 'Identifier_Device_ID_1stParty': {'precision': 0.30303030303030304, 'recall': 0.12987012987012986, 'f1-score': 0.1818181818181818, 'support': 154}, 'Identifier_IP_Address_1stParty': {'precision': 0.34591194968553457, 'recall': 0.275, 'f1-score': 0.3064066852367688, 'support': 200}, 'Location_1stParty': {'precision': 0.4657039711191336, 'recall': 0.44329896907216493, 'f1-score': 0.4542253521126761, 'support': 291}, 'accuracy': 0.4497560975609756, 'macro avg': {'precision': 0.3586029084773117, 'recall': 0.34195065352314336, 'f1-score': 0.3332491474192686, 'support': 2050}, 'weighted avg': {'precision': 0.4130731327696214, 'recall': 0.4497560975609756, 'f1-score': 0.41345229224135077, 'support': 2050}}"
8,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.46502057613168724, 'recall': 0.5136363636363637, 'f1-score': 0.48812095032397407, 'support': 440}, 'Contact_Phone_Number_1stParty': {'precision': 0.16666666666666666, 'recall': 0.14285714285714285, 'f1-score': 0.15384615384615383, 'support': 196}, 'Contact_Postal_Address_1stParty': {'precision': 0.11764705882352941, 'recall': 0.09803921568627451, 'f1-score': 0.10695187165775401, 'support': 102}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5389221556886228, 'recall': 0.6617647058823529, 'f1-score': 0.5940594059405941, 'support': 408}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.484304932735426, 'recall': 0.416988416988417, 'f1-score': 0.44813278008298757, 'support': 259}, 'Identifier_Device_ID_1stParty': {'precision': 0.25225225225225223, 'recall': 0.18181818181818182, 'f1-score': 0.21132075471698114, 'support': 154}, 'Identifier_IP_Address_1stParty': {'precision': 0.324468085106383, 'recall': 0.305, 'f1-score': 0.31443298969072164, 'support': 200}, 'Location_1stParty': {'precision': 0.4340277777777778, 'recall': 0.42955326460481097, 'f1-score': 0.4317789291882556, 'support': 291}, 'accuracy': 0.4175609756097561, 'macro avg': {'precision': 0.3479136881477931, 'recall': 0.34370716143419294, 'f1-score': 0.34358047943092773, 'support': 2050}, 'weighted avg': {'precision': 0.40226023632463376, 'recall': 0.4175609756097561, 'f1-score': 0.40749094898979693, 'support': 2050}}"
8,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5813333333333334, 'recall': 0.4954545454545455, 'f1-score': 0.5349693251533743, 'support': 440}, 'Contact_Phone_Number_1stParty': {'precision': 0.17679558011049723, 'recall': 0.16326530612244897, 'f1-score': 0.16976127320954906, 'support': 196}, 'Contact_Postal_Address_1stParty': {'precision': 0.14492753623188406, 'recall': 0.29411764705882354, 'f1-score': 0.19417475728155337, 'support': 102}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6234413965087282, 'recall': 0.6127450980392157, 'f1-score': 0.6180469715698393, 'support': 408}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5247148288973384, 'recall': 0.5328185328185329, 'f1-score': 0.5287356321839081, 'support': 259}, 'Identifier_Device_ID_1stParty': {'precision': 0.25961538461538464, 'recall': 0.35064935064935066, 'f1-score': 0.29834254143646416, 'support': 154}, 'Identifier_IP_Address_1stParty': {'precision': 0.32460732984293195, 'recall': 0.31, 'f1-score': 0.3171355498721228, 'support': 200}, 'Location_1stParty': {'precision': 0.53125, 'recall': 0.40893470790378006, 'f1-score': 0.4621359223300971, 'support': 291}, 'accuracy': 0.4404878048780488, 'macro avg': {'precision': 0.39583567369251227, 'recall': 0.39599814850583714, 'f1-score': 0.3904127466296135, 'support': 2050}, 'weighted avg': {'precision': 0.4658450852308799, 'recall': 0.4404878048780488, 'f1-score': 0.44947543695078035, 'support': 2050}}"
9,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.41025641025641024, 'recall': 0.6618004866180048, 'f1-score': 0.5065176908752328, 'support': 411}, 'Contact_Phone_Number_1stParty': {'precision': 0.1111111111111111, 'recall': 0.05714285714285714, 'f1-score': 0.07547169811320754, 'support': 175}, 'Contact_Postal_Address_1stParty': {'precision': 0.1, 'recall': 0.032, 'f1-score': 0.048484848484848485, 'support': 125}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5185185185185185, 'recall': 0.7576470588235295, 'f1-score': 0.615678776290631, 'support': 425}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5141242937853108, 'recall': 0.3760330578512397, 'f1-score': 0.4343675417661098, 'support': 242}, 'Identifier_Device_ID_1stParty': {'precision': 0.2345679012345679, 'recall': 0.1557377049180328, 'f1-score': 0.187192118226601, 'support': 122}, 'Identifier_IP_Address_1stParty': {'precision': 0.3212121212121212, 'recall': 0.2548076923076923, 'f1-score': 0.2841823056300268, 'support': 208}, 'Location_1stParty': {'precision': 0.5719424460431655, 'recall': 0.4746268656716418, 'f1-score': 0.5187601957585645, 'support': 335}, 'SSO': {'precision': 0.5428571428571428, 'recall': 0.17757009345794392, 'f1-score': 0.2676056338028169, 'support': 107}, 'accuracy': 0.4413953488372093, 'macro avg': {'precision': 0.3693988827798164, 'recall': 0.3274850907545491, 'f1-score': 0.3264734232164488, 'support': 2150}, 'weighted avg': {'precision': 0.41416935692984086, 'recall': 0.4413953488372093, 'f1-score': 0.4086479886519843, 'support': 2150}}"
9,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.41956521739130437, 'recall': 0.46958637469586373, 'f1-score': 0.44316877152698053, 'support': 411}, 'Contact_Phone_Number_1stParty': {'precision': 0.15217391304347827, 'recall': 0.16, 'f1-score': 0.15598885793871867, 'support': 175}, 'Contact_Postal_Address_1stParty': {'precision': 0.13829787234042554, 'recall': 0.104, 'f1-score': 0.1187214611872146, 'support': 125}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5425742574257426, 'recall': 0.6447058823529411, 'f1-score': 0.5892473118279571, 'support': 425}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.4930232558139535, 'recall': 0.4380165289256198, 'f1-score': 0.46389496717724293, 'support': 242}, 'Identifier_Device_ID_1stParty': {'precision': 0.1623931623931624, 'recall': 0.1557377049180328, 'f1-score': 0.15899581589958156, 'support': 122}, 'Identifier_IP_Address_1stParty': {'precision': 0.2596685082872928, 'recall': 0.22596153846153846, 'f1-score': 0.2416452442159383, 'support': 208}, 'Location_1stParty': {'precision': 0.53156146179402, 'recall': 0.47761194029850745, 'f1-score': 0.5031446540880503, 'support': 335}, 'SSO': {'precision': 0.5483870967741935, 'recall': 0.4766355140186916, 'f1-score': 0.51, 'support': 107}, 'accuracy': 0.4144186046511628, 'macro avg': {'precision': 0.360849416140397, 'recall': 0.3502506092967994, 'f1-score': 0.35386745376240936, 'support': 2150}, 'weighted avg': {'precision': 0.4078317139895179, 'recall': 0.4144186046511628, 'f1-score': 0.4091890450814894, 'support': 2150}}"
9,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5851393188854489, 'recall': 0.45985401459854014, 'f1-score': 0.5149863760217983, 'support': 411}, 'Contact_Phone_Number_1stParty': {'precision': 0.18579234972677597, 'recall': 0.19428571428571428, 'f1-score': 0.1899441340782123, 'support': 175}, 'Contact_Postal_Address_1stParty': {'precision': 0.16346153846153846, 'recall': 0.272, 'f1-score': 0.2042042042042042, 'support': 125}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6477832512315271, 'recall': 0.6188235294117647, 'f1-score': 0.6329723225030084, 'support': 425}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5176470588235295, 'recall': 0.5454545454545454, 'f1-score': 0.5311871227364185, 'support': 242}, 'Identifier_Device_ID_1stParty': {'precision': 0.19523809523809524, 'recall': 0.3360655737704918, 'f1-score': 0.24698795180722888, 'support': 122}, 'Identifier_IP_Address_1stParty': {'precision': 0.30927835051546393, 'recall': 0.28846153846153844, 'f1-score': 0.2985074626865672, 'support': 208}, 'Location_1stParty': {'precision': 0.611764705882353, 'recall': 0.46567164179104475, 'f1-score': 0.528813559322034, 'support': 335}, 'SSO': {'precision': 0.49137931034482757, 'recall': 0.5327102803738317, 'f1-score': 0.5112107623318385, 'support': 107}, 'accuracy': 0.4493023255813953, 'macro avg': {'precision': 0.41194266434550664, 'recall': 0.41259187090527455, 'f1-score': 0.4065348772990344, 'support': 2150}, 'weighted avg': {'precision': 0.4835743212949953, 'recall': 0.4493023255813953, 'f1-score': 0.46142318446597197, 'support': 2150}}"
10,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.3297587131367292, 'recall': 0.6212121212121212, 'f1-score': 0.4308231173380035, 'support': 396}, 'Contact_Phone_Number_1stParty': {'precision': 0.1956521739130435, 'recall': 0.1005586592178771, 'f1-score': 0.13284132841328417, 'support': 179}, 'Contact_Postal_Address_1stParty': {'precision': 0.0967741935483871, 'recall': 0.022727272727272728, 'f1-score': 0.03680981595092025, 'support': 132}, 'Demographic_Age_1stParty': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 82}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.49297971918876754, 'recall': 0.7614457831325301, 'f1-score': 0.5984848484848485, 'support': 415}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5695364238410596, 'recall': 0.3412698412698413, 'f1-score': 0.42679900744416877, 'support': 252}, 'Identifier_Device_ID_1stParty': {'precision': 0.2988505747126437, 'recall': 0.1793103448275862, 'f1-score': 0.22413793103448276, 'support': 145}, 'Identifier_IP_Address_1stParty': {'precision': 0.3959731543624161, 'recall': 0.2694063926940639, 'f1-score': 0.32065217391304346, 'support': 219}, 'Location_1stParty': {'precision': 0.48484848484848486, 'recall': 0.46006389776357826, 'f1-score': 0.47213114754098356, 'support': 313}, 'SSO': {'precision': 0.5263157894736842, 'recall': 0.1941747572815534, 'f1-score': 0.2836879432624113, 'support': 103}, 'accuracy': 0.41055456171735244, 'macro avg': {'precision': 0.33906892270252154, 'recall': 0.29501690701264244, 'f1-score': 0.2926367313382146, 'support': 2236}, 'weighted avg': {'precision': 0.3857377913972808, 'recall': 0.41055456171735244, 'f1-score': 0.37338450061619144, 'support': 2236}}"
