N,clf,report
6,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5294117647058824, 'recall': 0.6192660550458715, 'f1-score': 0.5708245243128964, 'support': 218}, 'Contact_Phone_Number_1stParty': {'precision': 0.18421052631578946, 'recall': 0.11764705882352941, 'f1-score': 0.14358974358974358, 'support': 119}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.601123595505618, 'recall': 0.6369047619047619, 'f1-score': 0.6184971098265897, 'support': 168}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5287356321839081, 'recall': 0.44660194174757284, 'f1-score': 0.4842105263157895, 'support': 103}, 'Identifier_IP_Address_1stParty': {'precision': 0.40310077519379844, 'recall': 0.416, 'f1-score': 0.4094488188976378, 'support': 125}, 'Location_1stParty': {'precision': 0.5416666666666666, 'recall': 0.56875, 'f1-score': 0.5548780487804877, 'support': 160}, 'accuracy': 0.49832026875699886, 'macro avg': {'precision': 0.46470816009527716, 'recall': 0.4675283029202893, 'f1-score': 0.46357479528719076, 'support': 893}, 'weighted avg': {'precision': 0.4813388746508836, 'recall': 0.49832026875699886, 'f1-score': 0.48742409251496877, 'support': 893}}"
6,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.586046511627907, 'recall': 0.5779816513761468, 'f1-score': 0.5819861431870669, 'support': 218}, 'Contact_Phone_Number_1stParty': {'precision': 0.2403846153846154, 'recall': 0.21008403361344538, 'f1-score': 0.2242152466367713, 'support': 119}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.654320987654321, 'recall': 0.6309523809523809, 'f1-score': 0.6424242424242423, 'support': 168}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5204081632653061, 'recall': 0.49514563106796117, 'f1-score': 0.5074626865671642, 'support': 103}, 'Identifier_IP_Address_1stParty': {'precision': 0.3717948717948718, 'recall': 0.464, 'f1-score': 0.4128113879003559, 'support': 125}, 'Location_1stParty': {'precision': 0.569620253164557, 'recall': 0.5625, 'f1-score': 0.5660377358490567, 'support': 160}, 'accuracy': 0.5106382978723404, 'macro avg': {'precision': 0.4904292338152631, 'recall': 0.4901106161683224, 'f1-score': 0.48915624042744293, 'support': 893}, 'weighted avg': {'precision': 0.5123241601216053, 'recall': 0.5106382978723404, 'f1-score': 0.5105464549066524, 'support': 893}}"
7,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.450402144772118, 'recall': 0.7601809954751131, 'f1-score': 0.5656565656565656, 'support': 221}, 'Contact_Phone_Number_1stParty': {'precision': 0.1, 'recall': 0.031007751937984496, 'f1-score': 0.047337278106508875, 'support': 129}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5565610859728507, 'recall': 0.7151162790697675, 'f1-score': 0.6259541984732824, 'support': 172}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5714285714285714, 'recall': 0.2545454545454545, 'f1-score': 0.35220125786163514, 'support': 110}, 'Identifier_Device_ID_1stParty': {'precision': 0.12727272727272726, 'recall': 0.08139534883720931, 'f1-score': 0.09929078014184398, 'support': 86}, 'Identifier_IP_Address_1stParty': {'precision': 0.29523809523809524, 'recall': 0.2672413793103448, 'f1-score': 0.28054298642533937, 'support': 116}, 'Location_1stParty': {'precision': 0.38848920863309355, 'recall': 0.36486486486486486, 'f1-score': 0.37630662020905925, 'support': 148}, 'accuracy': 0.4226069246435845, 'macro avg': {'precision': 0.3556274047596366, 'recall': 0.3534788677201055, 'f1-score': 0.33532709812489064, 'support': 982}, 'weighted avg': {'precision': 0.3805641548980475, 'recall': 0.4226069246435845, 'f1-score': 0.3811591076339143, 'support': 982}}"
7,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.4858156028368794, 'recall': 0.6199095022624435, 'f1-score': 0.5447316103379721, 'support': 221}, 'Contact_Phone_Number_1stParty': {'precision': 0.1794871794871795, 'recall': 0.10852713178294573, 'f1-score': 0.1352657004830918, 'support': 129}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5916230366492147, 'recall': 0.6569767441860465, 'f1-score': 0.6225895316804407, 'support': 172}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5975609756097561, 'recall': 0.44545454545454544, 'f1-score': 0.5104166666666666, 'support': 110}, 'Identifier_Device_ID_1stParty': {'precision': 0.20987654320987653, 'recall': 0.19767441860465115, 'f1-score': 0.20359281437125748, 'support': 86}, 'Identifier_IP_Address_1stParty': {'precision': 0.2727272727272727, 'recall': 0.28448275862068967, 'f1-score': 0.27848101265822783, 'support': 116}, 'Location_1stParty': {'precision': 0.40816326530612246, 'recall': 0.40540540540540543, 'f1-score': 0.4067796610169492, 'support': 148}, 'accuracy': 0.43075356415478616, 'macro avg': {'precision': 0.3921791251180431, 'recall': 0.38834721518810383, 'f1-score': 0.38597957103065805, 'support': 982}, 'weighted avg': {'precision': 0.41558439268763114, 'recall': 0.43075356415478616, 'f1-score': 0.4186174779675874, 'support': 982}}"
7,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5892857142857143, 'recall': 0.5972850678733032, 'f1-score': 0.5932584269662922, 'support': 221}, 'Contact_Phone_Number_1stParty': {'precision': 0.2459016393442623, 'recall': 0.23255813953488372, 'f1-score': 0.2390438247011952, 'support': 129}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6624203821656051, 'recall': 0.6046511627906976, 'f1-score': 0.6322188449848023, 'support': 172}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5567010309278351, 'recall': 0.4909090909090909, 'f1-score': 0.5217391304347826, 'support': 110}, 'Identifier_Device_ID_1stParty': {'precision': 0.20408163265306123, 'recall': 0.3488372093023256, 'f1-score': 0.25751072961373395, 'support': 86}, 'Identifier_IP_Address_1stParty': {'precision': 0.2796610169491525, 'recall': 0.28448275862068967, 'f1-score': 0.28205128205128205, 'support': 116}, 'Location_1stParty': {'precision': 0.49572649572649574, 'recall': 0.3918918918918919, 'f1-score': 0.4377358490566038, 'support': 148}, 'accuracy': 0.44908350305498984, 'macro avg': {'precision': 0.43339684457887523, 'recall': 0.4215164744175546, 'f1-score': 0.4233654411155274, 'support': 982}, 'weighted avg': {'precision': 0.4689267751617973, 'recall': 0.44908350305498984, 'f1-score': 0.45593532439544204, 'support': 982}}"
8,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.391304347826087, 'recall': 0.6860986547085202, 'f1-score': 0.49837133550488605, 'support': 223}, 'Contact_Phone_Number_1stParty': {'precision': 0.09433962264150944, 'recall': 0.04424778761061947, 'f1-score': 0.06024096385542169, 'support': 113}, 'Contact_Postal_Address_1stParty': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 76}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5605381165919282, 'recall': 0.702247191011236, 'f1-score': 0.6234413965087281, 'support': 178}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.463768115942029, 'recall': 0.3076923076923077, 'f1-score': 0.3699421965317919, 'support': 104}, 'Identifier_Device_ID_1stParty': {'precision': 0.10526315789473684, 'recall': 0.05, 'f1-score': 0.06779661016949153, 'support': 80}, 'Identifier_IP_Address_1stParty': {'precision': 0.24271844660194175, 'recall': 0.22522522522522523, 'f1-score': 0.2336448598130841, 'support': 111}, 'Location_1stParty': {'precision': 0.4764705882352941, 'recall': 0.4764705882352941, 'f1-score': 0.4764705882352941, 'support': 170}, 'accuracy': 0.4028436018957346, 'macro avg': {'precision': 0.2918002994666908, 'recall': 0.3114977193104003, 'f1-score': 0.2912384938273372, 'support': 1055}, 'weighted avg': {'precision': 0.34340447008477415, 'recall': 0.4028436018957346, 'f1-score': 0.35995156588049654, 'support': 1055}}"
8,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.41762452107279696, 'recall': 0.48878923766816146, 'f1-score': 0.45041322314049587, 'support': 223}, 'Contact_Phone_Number_1stParty': {'precision': 0.16279069767441862, 'recall': 0.12389380530973451, 'f1-score': 0.14070351758793967, 'support': 113}, 'Contact_Postal_Address_1stParty': {'precision': 0.037037037037037035, 'recall': 0.02631578947368421, 'f1-score': 0.03076923076923077, 'support': 76}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.601063829787234, 'recall': 0.6348314606741573, 'f1-score': 0.6174863387978142, 'support': 178}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.4818181818181818, 'recall': 0.5096153846153846, 'f1-score': 0.4953271028037383, 'support': 104}, 'Identifier_Device_ID_1stParty': {'precision': 0.19480519480519481, 'recall': 0.1875, 'f1-score': 0.1910828025477707, 'support': 80}, 'Identifier_IP_Address_1stParty': {'precision': 0.21951219512195122, 'recall': 0.24324324324324326, 'f1-score': 0.23076923076923075, 'support': 111}, 'Location_1stParty': {'precision': 0.5256410256410257, 'recall': 0.4823529411764706, 'f1-score': 0.5030674846625767, 'support': 170}, 'accuracy': 0.3933649289099526, 'macro avg': {'precision': 0.33003658536973, 'recall': 0.3370677327701045, 'f1-score': 0.33245236638484965, 'support': 1055}, 'weighted avg': {'precision': 0.3798560455586758, 'recall': 0.3933649289099526, 'f1-score': 0.38533665971153874, 'support': 1055}}"
8,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5953757225433526, 'recall': 0.4618834080717489, 'f1-score': 0.5202020202020201, 'support': 223}, 'Contact_Phone_Number_1stParty': {'precision': 0.125, 'recall': 0.11504424778761062, 'f1-score': 0.11981566820276497, 'support': 113}, 'Contact_Postal_Address_1stParty': {'precision': 0.1390728476821192, 'recall': 0.27631578947368424, 'f1-score': 0.18502202643171806, 'support': 76}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6585365853658537, 'recall': 0.6067415730337079, 'f1-score': 0.631578947368421, 'support': 178}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.46153846153846156, 'recall': 0.5192307692307693, 'f1-score': 0.4886877828054299, 'support': 104}, 'Identifier_Device_ID_1stParty': {'precision': 0.17886178861788618, 'recall': 0.275, 'f1-score': 0.21674876847290644, 'support': 80}, 'Identifier_IP_Address_1stParty': {'precision': 0.25742574257425743, 'recall': 0.23423423423423423, 'f1-score': 0.24528301886792453, 'support': 111}, 'Location_1stParty': {'precision': 0.6557377049180327, 'recall': 0.47058823529411764, 'f1-score': 0.547945205479452, 'support': 170}, 'accuracy': 0.404739336492891, 'macro avg': {'precision': 0.38394360665499544, 'recall': 0.3698797821407341, 'f1-score': 0.36941042972882965, 'support': 1055}, 'weighted avg': {'precision': 0.45217198587428403, 'recall': 0.404739336492891, 'f1-score': 0.4213909749457783, 'support': 1055}}"
9,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.37220843672456577, 'recall': 0.6578947368421053, 'f1-score': 0.47543581616481784, 'support': 228}, 'Contact_Phone_Number_1stParty': {'precision': 0.08571428571428572, 'recall': 0.06, 'f1-score': 0.07058823529411765, 'support': 100}, 'Contact_Postal_Address_1stParty': {'precision': 0.043478260869565216, 'recall': 0.0136986301369863, 'f1-score': 0.020833333333333332, 'support': 73}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.49321266968325794, 'recall': 0.6449704142011834, 'f1-score': 0.558974358974359, 'support': 169}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5285714285714286, 'recall': 0.3217391304347826, 'f1-score': 0.39999999999999997, 'support': 115}, 'Identifier_Device_ID_1stParty': {'precision': 0.11363636363636363, 'recall': 0.04950495049504951, 'f1-score': 0.06896551724137931, 'support': 101}, 'Identifier_IP_Address_1stParty': {'precision': 0.18691588785046728, 'recall': 0.19230769230769232, 'f1-score': 0.1895734597156398, 'support': 104}, 'Location_1stParty': {'precision': 0.46875, 'recall': 0.4573170731707317, 'f1-score': 0.462962962962963, 'support': 164}, 'SSO': {'precision': 0.4166666666666667, 'recall': 0.08928571428571429, 'f1-score': 0.14705882352941177, 'support': 56}, 'accuracy': 0.3675675675675676, 'macro avg': {'precision': 0.3010171110796223, 'recall': 0.27630203798602726, 'f1-score': 0.2660436119128913, 'support': 1110}, 'weighted avg': {'precision': 0.33502016130391654, 'recall': 0.3675675675675676, 'f1-score': 0.3317910510904226, 'support': 1110}}"
9,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.42735042735042733, 'recall': 0.43859649122807015, 'f1-score': 0.4329004329004329, 'support': 228}, 'Contact_Phone_Number_1stParty': {'precision': 0.09649122807017543, 'recall': 0.11, 'f1-score': 0.102803738317757, 'support': 100}, 'Contact_Postal_Address_1stParty': {'precision': 0.05555555555555555, 'recall': 0.0410958904109589, 'f1-score': 0.047244094488188976, 'support': 73}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5384615384615384, 'recall': 0.5798816568047337, 'f1-score': 0.5584045584045584, 'support': 169}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5169491525423728, 'recall': 0.5304347826086957, 'f1-score': 0.5236051502145922, 'support': 115}, 'Identifier_Device_ID_1stParty': {'precision': 0.11538461538461539, 'recall': 0.0891089108910891, 'f1-score': 0.1005586592178771, 'support': 101}, 'Identifier_IP_Address_1stParty': {'precision': 0.21487603305785125, 'recall': 0.25, 'f1-score': 0.23111111111111113, 'support': 104}, 'Location_1stParty': {'precision': 0.4840764331210191, 'recall': 0.4634146341463415, 'f1-score': 0.4735202492211838, 'support': 164}, 'SSO': {'precision': 0.5384615384615384, 'recall': 0.5, 'f1-score': 0.5185185185185186, 'support': 56}, 'accuracy': 0.37117117117117115, 'macro avg': {'precision': 0.3319562802227882, 'recall': 0.333614707343321, 'f1-score': 0.33207405693269115, 'support': 1110}, 'weighted avg': {'precision': 0.36498474154810756, 'recall': 0.37117117117117115, 'f1-score': 0.36747909200147116, 'support': 1110}}"
9,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5771428571428572, 'recall': 0.44298245614035087, 'f1-score': 0.501240694789082, 'support': 228}, 'Contact_Phone_Number_1stParty': {'precision': 0.12173913043478261, 'recall': 0.14, 'f1-score': 0.13023255813953488, 'support': 100}, 'Contact_Postal_Address_1stParty': {'precision': 0.08843537414965986, 'recall': 0.1780821917808219, 'f1-score': 0.1181818181818182, 'support': 73}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6413793103448275, 'recall': 0.5502958579881657, 'f1-score': 0.5923566878980892, 'support': 169}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.4961832061068702, 'recall': 0.5652173913043478, 'f1-score': 0.5284552845528455, 'support': 115}, 'Identifier_Device_ID_1stParty': {'precision': 0.14285714285714285, 'recall': 0.15841584158415842, 'f1-score': 0.15023474178403756, 'support': 101}, 'Identifier_IP_Address_1stParty': {'precision': 0.21367521367521367, 'recall': 0.2403846153846154, 'f1-score': 0.2262443438914027, 'support': 104}, 'Location_1stParty': {'precision': 0.6428571428571429, 'recall': 0.43902439024390244, 'f1-score': 0.5217391304347826, 'support': 164}, 'SSO': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 56}, 'accuracy': 0.3846846846846847, 'macro avg': {'precision': 0.3804743752853886, 'recall': 0.3571558604918181, 'f1-score': 0.3631872510746214, 'support': 1110}, 'weighted avg': {'precision': 0.4376142378512665, 'recall': 0.3846846846846847, 'f1-score': 0.4045787234303507, 'support': 1110}}"
10,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.35201793721973096, 'recall': 0.6569037656903766, 'f1-score': 0.45839416058394167, 'support': 239}, 'Contact_Phone_Number_1stParty': {'precision': 0.05172413793103448, 'recall': 0.0297029702970297, 'f1-score': 0.03773584905660377, 'support': 101}, 'Contact_Postal_Address_1stParty': {'precision': 0.047619047619047616, 'recall': 0.0136986301369863, 'f1-score': 0.02127659574468085, 'support': 73}, 'Demographic_Age_1stParty': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 44}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.502127659574468, 'recall': 0.7023809523809523, 'f1-score': 0.5856079404466501, 'support': 168}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5081967213114754, 'recall': 0.28703703703703703, 'f1-score': 0.3668639053254438, 'support': 108}, 'Identifier_Device_ID_1stParty': {'precision': 0.175, 'recall': 0.07777777777777778, 'f1-score': 0.10769230769230768, 'support': 90}, 'Identifier_IP_Address_1stParty': {'precision': 0.2903225806451613, 'recall': 0.28125, 'f1-score': 0.28571428571428575, 'support': 128}, 'Location_1stParty': {'precision': 0.4444444444444444, 'recall': 0.43902439024390244, 'f1-score': 0.44171779141104295, 'support': 164}, 'SSO': {'precision': 0.4, 'recall': 0.0851063829787234, 'f1-score': 0.14035087719298245, 'support': 47}, 'accuracy': 0.36919104991394147, 'macro avg': {'precision': 0.27714525287453623, 'recall': 0.25728819065427855, 'f1-score': 0.24453537131679393, 'support': 1162}, 'weighted avg': {'precision': 0.3241613488161447, 'recall': 0.36919104991394147, 'f1-score': 0.32549578113342803, 'support': 1162}}"
